ymonth,Precip,TMean,year,month
1781 Jan,1.35806451612903,-1.86129032258065,1781,1
1781 Feb,2.58214285714286,-1.12142857142857,1781,2
1781 Mar,1.01290322580645,2.27741935483871,1781,3
1781 Apr,1.9,8.63666666666667,1781,4
1781 May,2.3741935483871,12.1709677419355,1781,5
1781 Jun,5.62333333333333,14.4533333333333,1781,6
1781 Jul,4.42258064516129,15.5645161290323,1781,7
1781 Aug,2.17096774193548,16.5677419354839,1781,8
1781 Sep,2.30666666666667,12.6433333333333,1781,9
1781 Oct,2.89032258064516,4.2741935483871,1781,10
1781 Nov,2.22,1.45666666666667,1781,11
1781 Dec,0.693548387096774,1.13870967741935,1781,12
1782 Jan,1.1741935483871,-1.2258064516129,1782,1
1782 Feb,0.45,-5.78214285714286,1782,2
1782 Mar,0.841935483870968,-0.187096774193548,1782,3
1782 Apr,1.63333333333333,3.59333333333333,1782,4
1782 May,1.34193548387097,9.18064516129032,1782,5
1782 Jun,1.15666666666667,15.48,1782,6
1782 Jul,2.13225806451613,17.0387096774194,1782,7
1782 Aug,3.31935483870968,14.2193548387097,1782,8
1782 Sep,1.08,10.6133333333333,1782,9
1782 Oct,1.47741935483871,3.41290322580645,1782,10
1782 Nov,1.45,-2.97333333333333,1782,11
1782 Dec,0.303225806451613,-2.53225806451613,1782,12
1783 Jan,0.87741935483871,0.396774193548387,1783,1
1783 Feb,1.13214285714286,0.0142857142857143,1783,2
1783 Mar,0.770967741935484,-0.654838709677419,1783,3
1783 Apr,0.77,6.04666666666667,1783,4
1783 May,2.03548387096774,10.6322580645161,1783,5
1783 Jun,4.39333333333333,12.7866666666667,1783,6
1783 Jul,2.80645161290323,15.9322580645161,1783,7
1783 Aug,3.7741935483871,14.1225806451613,1783,8
1783 Sep,1.68666666666667,11.69,1783,9
1783 Oct,1.21935483870968,7.89677419354839,1783,10
1783 Nov,1.08666666666667,0.893333333333333,1783,11
1783 Dec,0.809677419354839,-2.67096774193548,1783,12
1784 Jan,2.22258064516129,-5.76129032258065,1784,1
1784 Feb,0.786206896551724,-4.94137931034483,1784,2
1784 Mar,0.983870967741935,-0.338709677419355,1784,3
1784 Apr,0.993333333333333,1.69333333333333,1784,4
1784 May,1.94193548387097,12.4129032258065,1784,5
1784 Jun,3.78,12.81,1784,6
1784 Jul,3.46774193548387,14.7838709677419,1784,7
